trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00437,04104,71801,Renfe,ALVIA,2025-11-11 21:32:00,2025-11-11 22:13:00,0 days 00:41:00,00437_11-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-12 19:52:00,2025-11-12 22:13:00,0 days 02:21:00,00437_12-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-12 20:58:00,2025-11-12 22:13:00,0 days 01:15:00,00437_12-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-12 21:32:00,2025-11-12 22:13:00,0 days 00:41:00,00437_12-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-13 19:52:00,2025-11-13 22:13:00,0 days 02:21:00,00437_13-11-2025-19.52,,35.6,41.5,71.0,
00437,78400,71801,Renfe,ALVIA,2025-11-13 20:58:00,2025-11-13 22:13:00,0 days 01:15:00,00437_13-11-2025-19.52,,30.25,34.55,57.45,
00437,04104,71801,Renfe,ALVIA,2025-11-13 21:32:00,2025-11-13 22:13:00,0 days 00:41:00,00437_13-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-14 19:52:00,2025-11-14 22:13:00,0 days 02:21:00,00437_14-11-2025-19.52,,35.6,41.5,78.85,
00437,78400,71801,Renfe,ALVIA,2025-11-14 20:58:00,2025-11-14 22:13:00,0 days 01:15:00,00437_14-11-2025-19.52,,30.25,34.55,63.2,
00437,04104,71801,Renfe,ALVIA,2025-11-14 21:32:00,2025-11-14 22:13:00,0 days 00:41:00,00437_14-11-2025-19.52,,23.1,26.4,48.3,
00437,04040,71801,Renfe,ALVIA,2025-11-15 19:52:00,2025-11-15 22:13:00,0 days 02:21:00,00437_15-11-2025-19.52,,35.6,41.5,63.1,
00437,78400,71801,Renfe,ALVIA,2025-11-15 20:58:00,2025-11-15 22:13:00,0 days 01:15:00,00437_15-11-2025-19.52,,30.25,34.55,51.7,
00437,04104,71801,Renfe,ALVIA,2025-11-15 21:32:00,2025-11-15 22:13:00,0 days 00:41:00,00437_15-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-16 19:52:00,2025-11-16 22:13:00,0 days 02:21:00,00437_16-11-2025-19.52,,71.15,77.1,86.75,
00437,78400,71801,Renfe,ALVIA,2025-11-16 20:58:00,2025-11-16 22:13:00,0 days 01:15:00,00437_16-11-2025-19.52,,56.15,60.5,68.95,
00437,04104,71801,Renfe,ALVIA,2025-11-16 21:32:00,2025-11-16 22:13:00,0 days 00:41:00,00437_16-11-2025-19.52,,23.1,26.4,52.65,
