trip_id,origin,destination,train_type,departure,arrival,duration,service_id,Basico,Elige,Premium
03073,60000,70200,AVE,2023-09-06 07:30:00,2023-09-06 07:53:00,0 days 00:23:00,03073_06-09-2023-07.30,34.00,37.40,64.20
03173,60000,70200,AVE,2023-09-06 17:30:00,2023-09-06 17:53:00,0 days 00:23:00,03173_06-09-2023-17.30,34.00,37.40,64.20
03393,60000,70200,AVE,2023-09-06 19:05:00,2023-09-06 19:27:00,0 days 00:22:00,03393_06-09-2023-19.05,34.00,37.40,64.20
06309,60000,70200,AVLO,2023-09-06 19:30:00,2023-09-06 19:53:00,0 days 00:23:00,06309_06-09-2023-19.30,7.00,,
03203,60000,70200,AVE,2023-09-06 20:40:00,2023-09-06 21:03:00,0 days 00:23:00,03203_06-09-2023-20.40,34.00,37.40,64.20
03063,60000,70600,AVE,2023-09-06 06:30:00,2023-09-06 07:25:00,0 days 00:55:00,03063_06-09-2023-06.30,24.20,30.25,55.20
03113,60000,70600,AVE,2023-09-06 11:30:00,2023-09-06 12:25:00,0 days 00:55:00,03113_06-09-2023-11.30,18.15,24.20,83.35
03143,60000,70600,AVE,2023-09-06 14:30:00,2023-09-06 15:25:00,0 days 00:55:00,03143_06-09-2023-14.30,18.15,24.20,91.40
03153,60000,70600,AVE,2023-09-06 15:30:00,2023-09-06 16:25:00,0 days 00:55:00,03153_06-09-2023-15.30,48.40,54.45,91.40
03393,60000,70600,AVE,2023-09-06 19:05:00,2023-09-06 19:06:00,0 days 00:01:00,03393_06-09-2023-19.05,42.35,48.40,75.35
06309,60000,70600,AVLO,2023-09-06 19:30:00,2023-09-06 20:29:00,0 days 00:59:00,06309_06-09-2023-19.30,35.00,,
03203,60000,70600,AVE,2023-09-06 20:40:00,2023-09-06 20:41:00,0 days 00:01:00,03203_06-09-2023-20.40,18.15,24.20,55.20
03063,60000,04040,AVE,2023-09-06 06:30:00,2023-09-06 07:51:00,0 days 01:21:00,03063_06-09-2023-06.30,29.45,36.80,58.15
03073,60000,04040,AVE,2023-09-06 07:30:00,2023-09-06 08:51:00,0 days 01:21:00,03073_06-09-2023-07.30,73.60,92.00,116.90
03083,60000,04040,AVE,2023-09-06 08:30:00,2023-09-06 09:45:00,0 days 01:15:00,03083_06-09-2023-08.30,44.15,51.50,87.50
03093,60000,04040,AVE,2023-09-06 09:30:00,2023-09-06 10:45:00,0 days 01:15:00,03093_06-09-2023-09.30,51.50,58.90,107.10
06303,60000,04040,AVLO,2023-09-06 10:30:00,2023-09-06 11:44:00,0 days 01:14:00,06303_06-09-2023-10.30,29.00,,
03113,60000,04040,AVE,2023-09-06 11:30:00,2023-09-06 12:51:00,0 days 01:21:00,03113_06-09-2023-11.30,18.40,25.75,87.50
03123,60000,04040,AVE,2023-09-06 12:30:00,2023-09-06 13:45:00,0 days 01:15:00,03123_06-09-2023-12.30,44.15,51.50,87.50
03143,60000,04040,AVE,2023-09-06 14:30:00,2023-09-06 15:51:00,0 days 01:21:00,03143_06-09-2023-14.30,36.80,44.15,97.30
03153,60000,04040,AVE,2023-09-06 15:30:00,2023-09-06 16:51:00,0 days 01:21:00,03153_06-09-2023-15.30,58.90,66.25,97.30
03163,60000,04040,AVE,2023-09-06 16:30:00,2023-09-06 17:45:00,0 days 01:15:00,03163_06-09-2023-16.30,58.90,66.25,107.10
03173,60000,04040,AVE,2023-09-06 17:30:00,2023-09-06 18:51:00,0 days 01:21:00,03173_06-09-2023-17.30,92.00,97.90,116.90
03183,60000,04040,AVE,2023-09-06 18:30:00,2023-09-06 19:45:00,0 days 01:15:00,03183_06-09-2023-18.30,51.50,58.90,87.50
03393,60000,04040,AVE,2023-09-06 19:05:00,2023-09-06 20:30:00,0 days 01:25:00,03393_06-09-2023-19.05,44.15,51.50,77.75
06309,60000,04040,AVLO,2023-09-06 19:30:00,2023-09-06 20:55:00,0 days 01:25:00,06309_06-09-2023-19.30,39.00,,
03203,60000,04040,AVE,2023-09-06 20:40:00,2023-09-06 22:05:00,0 days 01:25:00,03203_06-09-2023-20.40,36.80,44.05,63.05
03073,60000,78400,AVE,2023-09-06 07:30:00,2023-09-06 09:35:00,0 days 02:05:00,03073_06-09-2023-07.30,83.50,92.80,130.10
03093,60000,78400,AVE,2023-09-06 09:30:00,2023-09-06 11:29:00,0 days 01:59:00,03093_06-09-2023-09.30,64.95,74.25,130.10
03113,60000,78400,AVE,2023-09-06 11:30:00,2023-09-06 13:35:00,0 days 02:05:00,03113_06-09-2023-11.30,23.20,32.50,105.40
03123,60000,78400,AVE,2023-09-06 12:30:00,2023-09-06 14:29:00,0 days 01:59:00,03123_06-09-2023-12.30,55.70,64.95,105.40
03153,60000,78400,AVE,2023-09-06 15:30:00,2023-09-06 17:35:00,0 days 02:05:00,03153_06-09-2023-15.30,74.25,83.50,117.75
03173,60000,78400,AVE,2023-09-06 17:30:00,2023-09-06 19:35:00,0 days 02:05:00,03173_06-09-2023-17.30,102.10,111.35,142.40
06309,60000,78400,AVLO,2023-09-06 19:30:00,2023-09-06 21:39:00,0 days 02:09:00,06309_06-09-2023-19.30,39.00,,
03203,60000,78400,AVE,2023-09-06 20:40:00,2023-09-06 22:49:00,0 days 02:09:00,03203_06-09-2023-20.40,23.20,32.50,68.35
03073,60000,71500,AVE,2023-09-06 07:30:00,2023-09-06 10:04:00,0 days 02:34:00,03073_06-09-2023-07.30,92.45,102.70,141.95
03093,60000,71500,AVE,2023-09-06 09:30:00,2023-09-06 11:58:00,0 days 02:28:00,03093_06-09-2023-09.30,92.45,102.70,141.95
03113,60000,71500,AVE,2023-09-06 11:30:00,2023-09-06 14:04:00,0 days 02:34:00,03113_06-09-2023-11.30,25.70,35.95,114.60
03153,60000,71500,AVE,2023-09-06 15:30:00,2023-09-06 18:04:00,0 days 02:34:00,03153_06-09-2023-15.30,82.15,92.45,128.25
03173,60000,71500,AVE,2023-09-06 17:30:00,2023-09-06 20:04:00,0 days 02:34:00,03173_06-09-2023-17.30,112.95,123.25,155.60
03183,60000,71500,AVE,2023-09-06 18:30:00,2023-09-06 20:44:00,0 days 02:14:00,03183_06-09-2023-18.30,71.90,82.15,114.60
06309,60000,71500,AVLO,2023-09-06 19:30:00,2023-09-06 22:08:00,0 days 02:38:00,06309_06-09-2023-19.30,55.00,,
03203,60000,71500,AVE,2023-09-06 20:40:00,2023-09-06 23:18:00,0 days 02:38:00,03203_06-09-2023-20.40,25.70,35.95,73.65
06301,60000,71801,AVLO,2023-09-06 06:15:00,2023-09-06 08:45:00,0 days 02:30:00,06301_06-09-2023-06.15,15.00,,
03063,60000,71801,AVE,2023-09-06 06:30:00,2023-09-06 09:20:00,0 days 02:50:00,03063_06-09-2023-06.30,45.50,56.85,79.50
03071,60000,71801,AVE,2023-09-06 07:00:00,2023-09-06 09:30:00,0 days 02:30:00,03071_06-09-2023-07.00,93.95,107.35,143.95
03073,60000,71801,AVE,2023-09-06 07:30:00,2023-09-06 10:42:00,0 days 03:12:00,03073_06-09-2023-07.30,56.85,68.05,87.05
03081,60000,71801,AVE,2023-09-06 08:00:00,2023-09-06 10:30:00,0 days 02:30:00,03081_06-09-2023-08.00,46.95,60.40,99.30
