ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
5824B;5824B;SAN PEDRO DE ALCANTARA;;;;;MARBELLA;;ESPAÑA;NO;NO;
58241;58241;SAN PEDRO DE ALCANTARA;;;;;MARBELLA;MÁLAGA;ESPAÑA;NO;NO;
5826B;5826B;ESTEPONA;;;;;ESTEPONA;;ESPAÑA;NO;NO;
58261;58261;ESTEPONA;;;;;ESTEPONA;MÁLAGA;ESPAÑA;NO;NO;
5901B;5901B;SANTA POLA;;;;;SANTA POLA;;ESPAÑA;NO;NO;
59011;59011;SANTA POLA;;;;;SANTA POLA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
5902B;5902B;LA MARINA;;;;;ALICANTE/ALACANT;;ESPAÑA;NO;NO;
59021;59021;LA MARINA;;;;;ALICANTE/ALACANT;ALICANTE/ALACANT;ESPAÑA;NO;NO;
5903B;5903B;GUARDAMAR DEL SEGURA;;;;;GUARDAMAR DEL SEGURA;;ESPAÑA;NO;NO;
59031;59031;GUARDAMAR DEL SEGURA;;;;;GUARDAMAR DEL SEGURA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
5904B;5904B;LA MATA;;;;;TORREVIEJA;;ESPAÑA;NO;NO;
59041;59041;LA MATA;;;;;TORREVIEJA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
5905B;5905B;TORREVIEJA;;;;;TORREVIEJA;;ESPAÑA;NO;NO;
59051;59051;TORREVIEJA;;;;;TORREVIEJA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
5906B;5906B;CAMPOAMOR;;;;;ALICANTE/ALACANT;;ESPAÑA;NO;NO;
59061;59061;CAMPOAMOR (BUS);;;;;ALICANTE/ALACANT;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60000;MADRI;MADRID PTA. ATOCHA - ALMUDENA GRANDES;40.406442;-3.690886;Glorieta Emperador Carlos V, S/N;28045;MADRID;MADRID;ESPAÑA;SI;NO;MADRI
60001;60001;MADRID-SANTA CATALINA;40.372441;-3.679537;;;MADRID;MADRID;ESPAÑA;SI;NO;
60002;60002;MADRID-CERRO PL;;;;;MADRID;MADRID;ESPAÑA;SI;NO;
60005;60005;MADRID-ATOCHA;;;;;MADRID;MADRID;ESPAÑA;SI;NO;
60100;60100;MADRID-VILLAVERDE BAJO;40.3536351;-3.6839896;Calle Estacion Ferrocarril, S/N;28021;MADRID;MADRID;ESPAÑA;SI;NO;
60101;60101;SAN CRISTÓBAL INDUSTRIAL;40.3319352;-3.6986743;Calle Transversal Sexta, S/N (Poligono Industrial de Villaverde);28021;MADRID;MADRID;ESPAÑA;SI;NO;
60102;60102;GETAFE INDUSTRIAL (ALICANTE);40.3054448;-3.7078159;Avenida de los Angeles, S/N;28903;GETAFE;MADRID;ESPAÑA;SI;NO;
60103;60103;PINTO;40.2427782;-3.7036626;Calle Cristo, S/N;28320;PINTO;MADRID;ESPAÑA;SI;NO;
60104;60104;VALDEMORO;40.1960018;-3.6649777;Plaza Estacion Ferrocarril, S/N;28340;VALDEMORO;MADRID;ESPAÑA;SI;NO;
60105;60105;CIEMPOZUELOS;40.159074;-3.6101107;Avenida de San Juan de Dios, S/N;28350;CIEMPOZUELOS;MADRID;ESPAÑA;SI;NO;
