service_id,stop_id,arrival,departure
0002O_08-02-2026-14.12,60000,0,0
0002O_08-02-2026-14.12,71801,157,157
0002O_08-02-2026-17.17,60000,0,0
0002O_08-02-2026-17.17,71801,157,157
0001O_08-02-2026-20.10,60000,0,0
0001O_08-02-2026-20.10,04040,76,79
0001O_08-02-2026-20.10,71801,173,173
0003O_08-02-2026-21.02,60000,0,0
0003O_08-02-2026-21.02,04040,79,82
0003O_08-02-2026-21.02,71801,172,172
0004O_09-02-2026-07.02,60000,0,0
0004O_09-02-2026-07.02,04040,78,81
0004O_09-02-2026-07.02,71801,172,172
0005O_09-02-2026-10.02,60000,0,0
0005O_09-02-2026-10.02,04040,80,83
0005O_09-02-2026-10.02,04104,139,139
0005O_09-02-2026-10.02,71801,182,182
0002O_09-02-2026-14.12,60000,0,0
0002O_09-02-2026-14.12,71801,157,157
0002O_09-02-2026-17.17,60000,0,0
0002O_09-02-2026-17.17,71801,157,157
0001O_09-02-2026-20.10,60000,0,0
0001O_09-02-2026-20.10,04040,76,79
0001O_09-02-2026-20.10,71801,173,173
0003O_09-02-2026-21.02,60000,0,0
0003O_09-02-2026-21.02,04040,79,82
0003O_09-02-2026-21.02,71801,172,172
0004O_10-02-2026-07.02,60000,0,0
0004O_10-02-2026-07.02,04040,78,81
0004O_10-02-2026-07.02,71801,172,172
0005O_10-02-2026-10.02,60000,0,0
0005O_10-02-2026-10.02,04040,80,83
0005O_10-02-2026-10.02,04104,139,139
0005O_10-02-2026-10.02,71801,182,182
0002O_10-02-2026-14.12,60000,0,0
0002O_10-02-2026-14.12,71801,157,157
0002O_10-02-2026-17.17,60000,0,0
0002O_10-02-2026-17.17,71801,157,157
0001O_10-02-2026-20.10,60000,0,0
0001O_10-02-2026-20.10,04040,76,79
0001O_10-02-2026-20.10,71801,173,173
0003O_10-02-2026-21.02,60000,0,0
0003O_10-02-2026-21.02,04040,79,82
0003O_10-02-2026-21.02,71801,172,172
0004O_11-02-2026-07.02,60000,0,0
0004O_11-02-2026-07.02,04040,78,81
0004O_11-02-2026-07.02,71801,172,172
0005O_11-02-2026-10.02,60000,0,0
0005O_11-02-2026-10.02,04040,80,83
0005O_11-02-2026-10.02,04104,139,139
0005O_11-02-2026-10.02,71801,182,182
0002O_11-02-2026-14.12,60000,0,0
0002O_11-02-2026-14.12,71801,157,157
0002O_11-02-2026-17.17,60000,0,0
0002O_11-02-2026-17.17,71801,157,157
0001O_11-02-2026-20.10,60000,0,0
0001O_11-02-2026-20.10,04040,76,79
0001O_11-02-2026-20.10,71801,173,173
0003O_11-02-2026-21.02,60000,0,0
0003O_11-02-2026-21.02,04040,79,82
0003O_11-02-2026-21.02,71801,172,172
0004O_12-02-2026-07.02,60000,0,0
0004O_12-02-2026-07.02,04040,78,81
0004O_12-02-2026-07.02,71801,172,172
0005O_12-02-2026-10.02,60000,0,0
0005O_12-02-2026-10.02,04040,80,83
0005O_12-02-2026-10.02,04104,139,139
0005O_12-02-2026-10.02,71801,182,182
0002O_12-02-2026-14.12,60000,0,0
0002O_12-02-2026-14.12,71801,157,157
0002O_12-02-2026-17.17,60000,0,0
0002O_12-02-2026-17.17,71801,157,157
0001O_12-02-2026-20.10,60000,0,0
0001O_12-02-2026-20.10,04040,76,79
0001O_12-02-2026-20.10,71801,173,173
0003O_12-02-2026-21.02,60000,0,0
0003O_12-02-2026-21.02,04040,79,82
0003O_12-02-2026-21.02,71801,172,172
0004O_13-02-2026-07.02,60000,0,0
0004O_13-02-2026-07.02,04040,78,81
0004O_13-02-2026-07.02,71801,172,172
0005O_13-02-2026-10.02,60000,0,0
0005O_13-02-2026-10.02,04040,80,83
0005O_13-02-2026-10.02,04104,139,139
0005O_13-02-2026-10.02,71801,182,182
0002O_13-02-2026-14.12,60000,0,0
0002O_13-02-2026-14.12,71801,157,157
0002O_13-02-2026-17.17,60000,0,0
0002O_13-02-2026-17.17,71801,157,157
0001O_13-02-2026-20.10,60000,0,0
0001O_13-02-2026-20.10,04040,76,79
0001O_13-02-2026-20.10,71801,173,173
0003O_13-02-2026-21.02,60000,0,0
0003O_13-02-2026-21.02,04040,79,82
0003O_13-02-2026-21.02,71801,172,172
0004O_14-02-2026-07.02,60000,0,0
0004O_14-02-2026-07.02,04040,78,81
0004O_14-02-2026-07.02,71801,172,172
0005O_14-02-2026-10.02,60000,0,0
0005O_14-02-2026-10.02,04040,80,83
0005O_14-02-2026-10.02,04104,139,139
0005O_14-02-2026-10.02,71801,182,182
0002O_14-02-2026-14.12,60000,0,0
0002O_14-02-2026-14.12,71801,157,157
0002O_14-02-2026-17.17,60000,0,0
0002O_14-02-2026-17.17,71801,157,157
0001O_14-02-2026-20.10,60000,0,0
0001O_14-02-2026-20.10,04040,76,79
0001O_14-02-2026-20.10,71801,173,173
0003O_14-02-2026-21.02,60000,0,0
0003O_14-02-2026-21.02,04040,79,82
0003O_14-02-2026-21.02,71801,172,172
0004O_15-02-2026-07.02,60000,0,0
0004O_15-02-2026-07.02,04040,78,81
0004O_15-02-2026-07.02,71801,172,172
0005O_15-02-2026-10.02,60000,0,0
0005O_15-02-2026-10.02,04040,80,83
0005O_15-02-2026-10.02,04104,139,139
0005O_15-02-2026-10.02,71801,182,182
0002O_15-02-2026-14.12,60000,0,0
0002O_15-02-2026-14.12,71801,157,157
0002O_15-02-2026-17.17,60000,0,0
0002O_15-02-2026-17.17,71801,157,157
0001O_15-02-2026-20.10,60000,0,0
0001O_15-02-2026-20.10,04040,76,79
0001O_15-02-2026-20.10,71801,173,173
0003O_15-02-2026-21.02,60000,0,0
0003O_15-02-2026-21.02,04040,79,82
0003O_15-02-2026-21.02,71801,172,172
0004O_16-02-2026-07.02,60000,0,0
0004O_16-02-2026-07.02,04040,78,81
0004O_16-02-2026-07.02,71801,172,172
0005O_16-02-2026-10.02,60000,0,0
0005O_16-02-2026-10.02,04040,80,83
0005O_16-02-2026-10.02,04104,139,139
0005O_16-02-2026-10.02,71801,182,182
0002O_16-02-2026-14.12,60000,0,0
0002O_16-02-2026-14.12,71801,157,157
0002O_16-02-2026-17.17,60000,0,0
0002O_16-02-2026-17.17,71801,157,157
0001O_16-02-2026-20.10,60000,0,0
0001O_16-02-2026-20.10,04040,76,79
0001O_16-02-2026-20.10,71801,173,173
0003O_16-02-2026-21.02,60000,0,0
0003O_16-02-2026-21.02,04040,79,82
0003O_16-02-2026-21.02,71801,172,172
0004O_17-02-2026-07.02,60000,0,0
0004O_17-02-2026-07.02,04040,78,81
0004O_17-02-2026-07.02,71801,172,172
0005O_17-02-2026-10.02,60000,0,0
0005O_17-02-2026-10.02,04040,80,83
0005O_17-02-2026-10.02,04104,139,139
0005O_17-02-2026-10.02,71801,182,182
0002O_17-02-2026-14.12,60000,0,0
0002O_17-02-2026-14.12,71801,157,157
0002O_17-02-2026-17.17,60000,0,0
0002O_17-02-2026-17.17,71801,157,157
0001O_17-02-2026-20.10,60000,0,0
0001O_17-02-2026-20.10,04040,76,79
0001O_17-02-2026-20.10,71801,173,173
0003O_17-02-2026-21.02,60000,0,0
0003O_17-02-2026-21.02,04040,79,82
0003O_17-02-2026-21.02,71801,172,172
0004O_18-02-2026-07.02,60000,0,0
0004O_18-02-2026-07.02,04040,78,81
0004O_18-02-2026-07.02,71801,172,172
0005O_18-02-2026-10.02,60000,0,0
0005O_18-02-2026-10.02,04040,80,83
0005O_18-02-2026-10.02,04104,139,139
0005O_18-02-2026-10.02,71801,182,182
0002O_18-02-2026-14.12,60000,0,0
0002O_18-02-2026-14.12,71801,157,157
0002O_18-02-2026-17.17,60000,0,0
0002O_18-02-2026-17.17,71801,157,157
0001O_18-02-2026-20.10,60000,0,0
0001O_18-02-2026-20.10,04040,76,79
0001O_18-02-2026-20.10,71801,173,173
0003O_18-02-2026-21.02,60000,0,0
0003O_18-02-2026-21.02,04040,79,82
0003O_18-02-2026-21.02,71801,172,172
0004O_19-02-2026-07.02,60000,0,0
0004O_19-02-2026-07.02,04040,78,81
0004O_19-02-2026-07.02,71801,172,172
0005O_19-02-2026-10.02,60000,0,0
0005O_19-02-2026-10.02,04040,80,83
0005O_19-02-2026-10.02,04104,139,139
0005O_19-02-2026-10.02,71801,182,182
0002O_19-02-2026-14.12,60000,0,0
0002O_19-02-2026-14.12,71801,157,157
0002O_19-02-2026-17.17,60000,0,0
0002O_19-02-2026-17.17,71801,157,157
