service_id,trip_id,train_type,departure,arrival,duration
03203_03-02-2023-20.40,03203,AVE,2023-02-03 20:40:00,2023-02-03 23:55:00,3:15
03211_03-02-2023-21.10,03211,AVE,2023-02-03 21:10:00,2023-02-03 23:40:00,2:30
03073_04-02-2023-07.30,03073,AVE,2023-02-04 07:30:00,2023-02-04 10:42:00,3:12
03083_04-02-2023-08.30,03083,AVE,2023-02-04 08:30:00,2023-02-04 11:15:00,2:45
03091_04-02-2023-09.00,03091,AVE,2023-02-04 09:00:00,2023-02-04 11:30:00,2:30
03093_04-02-2023-09.30,03093,AVE,2023-02-04 09:30:00,2023-02-04 12:37:00,3:7
03113_04-02-2023-11.30,03113,AVE,2023-02-04 11:30:00,2023-02-04 14:42:00,3:12
03123_04-02-2023-12.30,03123,AVE,2023-02-04 12:30:00,2023-02-04 15:40:00,3:10
19725_04-02-2023-13.25,19725,AVE,2023-02-04 13:25:00,2023-02-04 16:22:00,2:57
03153_04-02-2023-15.30,03153,AVE,2023-02-04 15:30:00,2023-02-04 18:42:00,3:12
03163_04-02-2023-16.30,03163,AVE,2023-02-04 16:30:00,2023-02-04 19:15:00,2:45
03173_04-02-2023-17.30,03173,AVE,2023-02-04 17:30:00,2023-02-04 20:42:00,3:12
03183_04-02-2023-18.30,03183,AVE,2023-02-04 18:30:00,2023-02-04 21:20:00,2:50
03203_04-02-2023-20.40,03203,AVE,2023-02-04 20:40:00,2023-02-04 23:55:00,3:15
03073_05-02-2023-07.30,03073,AVE,2023-02-05 07:30:00,2023-02-05 10:42:00,3:12
03083_05-02-2023-08.30,03083,AVE,2023-02-05 08:30:00,2023-02-05 11:15:00,2:45
03093_05-02-2023-09.30,03093,AVE,2023-02-05 09:30:00,2023-02-05 12:37:00,3:7
03113_05-02-2023-11.30,03113,AVE,2023-02-05 11:30:00,2023-02-05 14:42:00,3:12
03123_05-02-2023-12.30,03123,AVE,2023-02-05 12:30:00,2023-02-05 15:40:00,3:10
03131_05-02-2023-13.00,03131,AVE,2023-02-05 13:00:00,2023-02-05 15:30:00,2:30
19725_05-02-2023-13.25,19725,AVE,2023-02-05 13:25:00,2023-02-05 16:22:00,2:57
03143_05-02-2023-14.30,03143,AVE,2023-02-05 14:30:00,2023-02-05 17:20:00,2:50
03153_05-02-2023-15.30,03153,AVE,2023-02-05 15:30:00,2023-02-05 18:42:00,3:12
03161_05-02-2023-16.00,03161,AVE,2023-02-05 16:00:00,2023-02-05 18:30:00,2:30
03163_05-02-2023-16.30,03163,AVE,2023-02-05 16:30:00,2023-02-05 19:15:00,2:45
03171_05-02-2023-17.00,03171,AVE,2023-02-05 17:00:00,2023-02-05 19:30:00,2:30
03173_05-02-2023-17.30,03173,AVE,2023-02-05 17:30:00,2023-02-05 20:42:00,3:12
03183_05-02-2023-18.30,03183,AVE,2023-02-05 18:30:00,2023-02-05 21:20:00,2:50
03191_05-02-2023-19.00,03191,AVE,2023-02-05 19:00:00,2023-02-05 21:30:00,2:30
03201_05-02-2023-20.00,03201,AVE,2023-02-05 20:00:00,2023-02-05 22:30:00,2:30
03203_05-02-2023-20.40,03203,AVE,2023-02-05 20:40:00,2023-02-05 23:55:00,3:15
03211_05-02-2023-21.10,03211,AVE,2023-02-05 21:10:00,2023-02-05 23:40:00,2:30
03063_06-02-2023-06.30,03063,AVE,2023-02-06 06:30:00,2023-02-06 09:20:00,2:50
03071_06-02-2023-07.00,03071,AVE,2023-02-06 07:00:00,2023-02-06 09:30:00,2:30
03073_06-02-2023-07.30,03073,AVE,2023-02-06 07:30:00,2023-02-06 10:42:00,3:12
03081_06-02-2023-08.00,03081,AVE,2023-02-06 08:00:00,2023-02-06 10:30:00,2:30
03083_06-02-2023-08.30,03083,AVE,2023-02-06 08:30:00,2023-02-06 11:15:00,2:45
03091_06-02-2023-09.00,03091,AVE,2023-02-06 09:00:00,2023-02-06 11:30:00,2:30
03093_06-02-2023-09.30,03093,AVE,2023-02-06 09:30:00,2023-02-06 12:37:00,3:7
03113_06-02-2023-11.30,03113,AVE,2023-02-06 11:30:00,2023-02-06 14:42:00,3:12
03123_06-02-2023-12.30,03123,AVE,2023-02-06 12:30:00,2023-02-06 15:40:00,3:10
03131_06-02-2023-13.00,03131,AVE,2023-02-06 13:00:00,2023-02-06 15:30:00,2:30
19725_06-02-2023-13.25,19725,AVE,2023-02-06 13:25:00,2023-02-06 16:22:00,2:57
03143_06-02-2023-14.30,03143,AVE,2023-02-06 14:30:00,2023-02-06 17:20:00,2:50
03153_06-02-2023-15.30,03153,AVE,2023-02-06 15:30:00,2023-02-06 18:42:00,3:12
03161_06-02-2023-16.00,03161,AVE,2023-02-06 16:00:00,2023-02-06 18:30:00,2:30
03163_06-02-2023-16.30,03163,AVE,2023-02-06 16:30:00,2023-02-06 19:15:00,2:45
03171_06-02-2023-17.00,03171,AVE,2023-02-06 17:00:00,2023-02-06 19:30:00,2:30
03173_06-02-2023-17.30,03173,AVE,2023-02-06 17:30:00,2023-02-06 20:42:00,3:12
