trip_id,stop_id,arrival,departure
0001O,60000,0,0
0001O,04040,76,79
0001O,71801,173,173
0002O,60000,0,0
0002O,04040,78,81
0002O,71801,172,172
0003O,60000,0,0
0003O,71801,157,157
0004O,60000,0,0
0004O,04040,79,82
0004O,71801,172,172
0005O,60000,0,0
0005O,04040,80,83
0005O,04104,139,139
0005O,71801,182,182
0006O,60000,0,0
0006O,04104,139,139
