service_id,stop_id,arrival,departure
06301_01-06-2025-06.27,60000,0,0
06301_01-06-2025-06.27,70600,59,60
06301_01-06-2025-06.27,04040,85,86
06301_01-06-2025-06.27,71801,178,178
03073_01-06-2025-07.27,60000,0,0
03073_01-06-2025-07.27,04007,25,26
03073_01-06-2025-07.27,04040,84,85
03073_01-06-2025-07.27,78400,128,130
03073_01-06-2025-07.27,04104,157,159
03073_01-06-2025-07.27,71801,199,207
03073_01-06-2025-07.27,79206,245,247
03073_01-06-2025-07.27,04307,262,262
03083_01-06-2025-08.27,60000,0,0
03083_01-06-2025-08.27,04040,78,79
03083_01-06-2025-08.27,71801,172,172
02561_01-06-2025-09.27,51003,0,0
02561_01-06-2025-09.27,50500,43,45
02561_01-06-2025-09.27,37300,92,94
02561_01-06-2025-09.27,37200,109,111
02561_01-06-2025-09.27,60000,176,207
02561_01-06-2025-09.27,04040,286,287
02561_01-06-2025-09.27,78400,332,334
02561_01-06-2025-09.27,04104,360,362
02561_01-06-2025-09.27,71801,401,409
02561_01-06-2025-09.27,79206,450,452
02561_01-06-2025-09.27,04307,467,467
06303_01-06-2025-10.27,60000,0,0
06303_01-06-2025-10.27,04040,80,81
06303_01-06-2025-10.27,71801,172,172
03113_01-06-2025-11.27,60000,0,0
03113_01-06-2025-11.27,70600,58,59
03113_01-06-2025-11.27,04040,84,85
03113_01-06-2025-11.27,78400,128,130
03113_01-06-2025-11.27,04104,157,159
03113_01-06-2025-11.27,71801,199,199
02591_01-06-2025-12.27,51003,0,0
02591_01-06-2025-12.27,60000,157,171
02591_01-06-2025-12.27,04040,249,250
02591_01-06-2025-12.27,78400,293,295
02591_01-06-2025-12.27,71801,368,378
02591_01-06-2025-12.27,79206,419,421
02591_01-06-2025-12.27,04307,436,436
03131_01-06-2025-12.57,60000,0,0
03131_01-06-2025-12.57,71801,157,157
09725_01-06-2025-13.18,60000,0,0
09725_01-06-2025-13.18,04007,26,28
09725_01-06-2025-13.18,04040,85,88
09725_01-06-2025-13.18,04104,142,144
09725_01-06-2025-13.18,71801,184,196
09725_01-06-2025-13.18,79206,235,238
09725_01-06-2025-13.18,04307,252,255
09725_01-06-2025-13.18,87374,282,288
09725_01-06-2025-13.18,87088,329,329
09725_01-06-2025-13.18,87173,394,404
09725_01-06-2025-13.18,87302,434,434
09725_01-06-2025-13.18,87814,456,456
09725_01-06-2025-13.18,87912,479,479
09725_01-06-2025-13.18,87089,494,494
03143_01-06-2025-14.27,60000,0,0
03143_01-06-2025-14.27,70600,58,59
03143_01-06-2025-14.27,04040,84,85
03143_01-06-2025-14.27,71801,177,187
03143_01-06-2025-14.27,79206,231,234
03143_01-06-2025-14.27,04307,250,250
06305_01-06-2025-15.27,60000,0,0
06305_01-06-2025-15.27,70600,58,59
06305_01-06-2025-15.27,04040,84,85
06305_01-06-2025-15.27,78400,128,130
06305_01-06-2025-15.27,04104,157,159
06305_01-06-2025-15.27,71801,199,199
03161_01-06-2025-15.57,60000,0,0
03161_01-06-2025-15.57,71801,157,157
03163_01-06-2025-16.27,60000,0,0
03163_01-06-2025-16.27,04040,78,79
03163_01-06-2025-16.27,71801,172,172
03171_01-06-2025-16.57,60000,0,0
03171_01-06-2025-16.57,71801,157,157
06373_01-06-2025-17.27,60000,0,0
06373_01-06-2025-17.27,04007,26,27
06373_01-06-2025-17.27,04040,84,85
06373_01-06-2025-17.27,78400,128,130
06373_01-06-2025-17.27,04104,157,159
06373_01-06-2025-17.27,71801,199,199
02553_01-06-2025-17.57,54413,0,0
02553_01-06-2025-17.57,60000,164,179
02553_01-06-2025-17.57,71801,336,336
03183_01-06-2025-18.27,60000,0,0
03183_01-06-2025-18.27,04040,78,79
03183_01-06-2025-18.27,04104,137,139
03183_01-06-2025-18.27,71801,177,177
03191_01-06-2025-18.57,60000,0,0
03191_01-06-2025-18.57,71801,157,167
03191_01-06-2025-18.57,79206,208,210
03191_01-06-2025-18.57,04307,225,225
06309_01-06-2025-19.34,60000,0,0
06309_01-06-2025-19.34,04007,26,27
06309_01-06-2025-19.34,70600,62,63
06309_01-06-2025-19.34,04040,88,89
06309_01-06-2025-19.34,78400,132,134
06309_01-06-2025-19.34,04104,161,163
06309_01-06-2025-19.34,71801,201,211
06309_01-06-2025-19.34,79206,252,253
06309_01-06-2025-19.34,04307,268,268
03201_01-06-2025-20.05,60000,0,0
03201_01-06-2025-20.05,71801,157,157
03203_01-06-2025-20.27,60000,0,0
03203_01-06-2025-20.27,04007,25,26
03203_01-06-2025-20.27,70600,65,66
03203_01-06-2025-20.27,04040,90,91
03203_01-06-2025-20.27,78400,133,135
03203_01-06-2025-20.27,04104,160,162
03203_01-06-2025-20.27,71801,201,201
02883_01-06-2025-21.07,54413,0,0
02883_01-06-2025-21.07,50500,49,51
02883_01-06-2025-21.07,60000,170,192
02883_01-06-2025-21.07,04040,271,272
02883_01-06-2025-21.07,71801,364,364
