service_id,stop_id,arrival,departure
03301_06-02-2026-06.27,71801,178,178
03071_06-02-2026-06.57,60000,0,0
03071_06-02-2026-06.57,71801,157,157
03073_06-02-2026-07.27,60000,0,0
03073_06-02-2026-07.27,04007,25,26
03073_06-02-2026-07.27,04040,84,85
03073_06-02-2026-07.27,78400,128,130
03073_06-02-2026-07.27,04104,157,159
03073_06-02-2026-07.27,71801,199,215
03073_06-02-2026-07.27,79206,255,257
03073_06-02-2026-07.27,04307,272,272
03081_06-02-2026-07.57,60000,0,0
03081_06-02-2026-07.57,71801,157,157
03091_06-02-2026-08.57,60000,0,0
03091_06-02-2026-08.57,04104,124,126
03091_06-02-2026-08.57,71801,164,164
02561_06-02-2026-09.27,51003,0,0
02561_06-02-2026-09.27,50500,46,48
02561_06-02-2026-09.27,37300,94,96
02561_06-02-2026-09.27,37200,108,110
