service_id,0,1,2
03143_23-02-2023-14.30,90.95,102.35,140.00
03151_23-02-2023-15.00,67.10,80.30,99.30
03153_23-02-2023-15.30,102.35,113.70,140.00
03161_23-02-2023-16.00,80.50,93.95,126.10
03163_23-02-2023-16.30,79.60,90.95,140.00
03171_23-02-2023-17.00,93.95,107.35,197.50
03173_23-02-2023-17.30,90.95,102.35,140.00
06307_23-02-2023-18.00,55.00,,
03183_23-02-2023-18.30,79.60,90.95,124.85
03191_23-02-2023-19.00,107.35,120.80,161.80
06309_23-02-2023-19.30,55.00,,
03201_23-02-2023-20.00,67.10,80.30,99.30
03203_23-02-2023-20.40,68.20,79.60,109.75
03211_23-02-2023-21.10,68.20,79.60,109.75
06301_24-02-2023-06.15,35.00,,
03063_24-02-2023-06.30,22.75,39.80,140.00
03071_24-02-2023-07.00,26.85,46.95,126.10
17050_24-02-2023-07.15,43.25,,
03073_24-02-2023-07.30,90.95,102.35,140.00
03081_24-02-2023-08.00,40.25,53.70,161.80
03091_24-02-2023-09.00,93.95,107.35,143.95
03093_24-02-2023-09.30,102.35,113.70,155.10
06303_24-02-2023-10.30,69.00,,
03113_24-02-2023-11.30,113.70,121.00,140.00
03123_24-02-2023-12.30,90.95,102.35,140.00
19725_24-02-2023-13.25,90.95,102.35,140.00
03143_24-02-2023-14.30,102.35,113.70,140.00
03151_24-02-2023-15.00,93.95,107.35,143.95
03153_24-02-2023-15.30,102.35,113.70,140.00
03161_24-02-2023-16.00,93.95,107.35,143.95
03163_24-02-2023-16.30,90.95,102.35,140.00
03171_24-02-2023-17.00,93.95,107.35,143.95
03173_24-02-2023-17.30,102.35,113.70,140.00
06307_24-02-2023-18.00,59.00,,
03183_24-02-2023-18.30,102.35,113.70,140.00
03191_24-02-2023-19.00,40.25,53.70,161.80
06309_24-02-2023-19.30,19.00,,
03201_24-02-2023-20.00,53.70,67.10,90.40
03203_24-02-2023-20.40,102.35,113.70,140.00
03211_24-02-2023-21.10,22.75,39.80,109.75
06301_25-02-2023-06.15,35.00,,
03073_25-02-2023-07.30,22.75,39.80,140.00
03083_25-02-2023-08.30,79.60,90.95,124.85
03091_25-02-2023-09.00,20.15,46.95,161.80
03093_25-02-2023-09.30,90.95,102.35,140.00
06303_25-02-2023-10.30,39.00,,
03113_25-02-2023-11.30,17.05,39.80,140.00
03123_25-02-2023-12.30,68.20,79.60,109.75
19725_25-02-2023-13.25,17.05,102.35,140.00
03153_25-02-2023-15.30,17.05,39.80,140.00
03163_25-02-2023-16.30,56.85,68.20,94.60
03173_25-02-2023-17.30,17.05,39.80,140.00
06307_25-02-2023-18.00,35.00,,
03183_25-02-2023-18.30,79.60,90.95,124.85
06309_25-02-2023-19.30,15.00,,
03203_25-02-2023-20.40,17.05,39.80,140.00
06301_26-02-2023-06.15,19.00,,
03073_26-02-2023-07.30,22.75,39.80,124.85
03083_26-02-2023-08.30,68.20,79.60,109.75
03093_26-02-2023-09.30,28.45,39.80,140.00
06303_26-02-2023-10.30,45.00,,
03113_26-02-2023-11.30,,136.10,155.10
03123_26-02-2023-12.30,102.35,113.70,140.00
03131_26-02-2023-13.00,93.95,107.35,143.95
19725_26-02-2023-13.25,90.95,90.75,109.75
03143_26-02-2023-14.30,90.95,102.35,140.00
03153_26-02-2023-15.30,,136.10,155.10
03161_26-02-2023-16.00,107.35,120.80,161.80
03163_26-02-2023-16.30,90.95,102.35,140.00
03171_26-02-2023-17.00,93.95,107.35,143.95
03173_26-02-2023-17.30,102.35,113.70,140.00
06307_26-02-2023-18.00,89.00,,
03183_26-02-2023-18.30,102.35,113.70,140.00
03191_26-02-2023-19.00,107.35,120.80,161.80
06309_26-02-2023-19.30,89.00,,
03201_26-02-2023-20.00,80.50,93.95,126.10
03203_26-02-2023-20.40,102.35,113.70,140.00
03211_26-02-2023-21.10,,166.35,185.35
06301_27-02-2023-06.15,19.00,,
03063_27-02-2023-06.30,28.45,39.80,140.00
03071_27-02-2023-07.00,107.35,120.80,161.80
17050_27-02-2023-07.15,43.25,,
03073_27-02-2023-07.30,79.60,90.95,124.85
03081_27-02-2023-08.00,107.35,120.80,161.80
03083_27-02-2023-08.30,79.60,90.95,124.85
03091_27-02-2023-09.00,33.55,46.95,161.80
03093_27-02-2023-09.30,79.60,90.95,140.00
06303_27-02-2023-10.30,35.00,,
03113_27-02-2023-11.30,28.45,39.80,140.00
03123_27-02-2023-12.30,68.20,79.60,109.75
03131_27-02-2023-13.00,46.95,60.40,99.30
19725_27-02-2023-13.25,56.85,68.05,87.05
03143_27-02-2023-14.30,28.45,39.80,185.35
03151_27-02-2023-15.00,33.55,46.95,143.95
03153_27-02-2023-15.30,79.60,90.95,124.85
03161_27-02-2023-16.00,93.95,107.35,143.95
03163_27-02-2023-16.30,56.85,68.05,87.05
03171_27-02-2023-17.00,33.55,46.95,161.80
03173_27-02-2023-17.30,79.60,90.95,124.85
06307_27-02-2023-18.00,35.00,,
03183_27-02-2023-18.30,79.60,90.95,124.85
03191_27-02-2023-19.00,67.10,80.30,99.30
06309_27-02-2023-19.30,29.00,,
03201_27-02-2023-20.00,53.70,67.10,90.40
03203_27-02-2023-20.40,22.75,39.80,87.05
03211_27-02-2023-21.10,22.75,39.80,87.05
06301_28-02-2023-06.15,9.00,,
03063_28-02-2023-06.30,39.80,51.15,71.95
03071_28-02-2023-07.00,93.95,107.35,143.95
17050_28-02-2023-07.15,43.25,,
03073_28-02-2023-07.30,56.85,68.20,94.60
03081_28-02-2023-08.00,93.95,107.35,161.80
03083_28-02-2023-08.30,39.80,51.15,79.50
03091_28-02-2023-09.00,93.95,107.35,143.95
03093_28-02-2023-09.30,56.85,68.05,87.05
06303_28-02-2023-10.30,25.00,,
03113_28-02-2023-11.30,56.85,68.05,87.05
03123_28-02-2023-12.30,39.80,51.15,79.50
03131_28-02-2023-13.00,26.85,46.95,126.10
19725_28-02-2023-13.25,39.80,51.15,79.50
03143_28-02-2023-14.30,39.80,51.15,71.95
03151_28-02-2023-15.00,107.35,120.80,161.80
03153_28-02-2023-15.30,56.85,68.05,87.05
03161_28-02-2023-16.00,93.95,107.35,143.95
03163_28-02-2023-16.30,56.85,68.05,87.05
03171_28-02-2023-17.00,93.95,107.35,143.95
03173_28-02-2023-17.30,56.85,68.05,87.05
06307_28-02-2023-18.00,25.00,,
03183_28-02-2023-18.30,56.85,68.05,87.05
03191_28-02-2023-19.00,67.10,80.30,99.30
06309_28-02-2023-19.30,25.00,,
03201_28-02-2023-20.00,53.70,67.10,90.40
03203_28-02-2023-20.40,39.80,51.15,71.95
03211_28-02-2023-21.10,34.10,45.50,71.95
