service_id,stop_id,arrival,departure
03161_01-02-2026-15.57,71801,157,157
03363_01-02-2026-16.02,60000,0,0
03363_01-02-2026-16.02,04040,84,87
03363_01-02-2026-16.02,74200,128,128
03163_01-02-2026-16.27,60000,0,0
03163_01-02-2026-16.27,04040,78,79
03163_01-02-2026-16.27,71801,172,172
0003I_01-02-2026-16.37,60000,0,0
0003I_01-02-2026-16.37,71801,157,157
03171_01-02-2026-16.57,60000,0,0
03171_01-02-2026-16.57,71801,157,157
0002O_01-02-2026-17.17,60000,0,0
0002O_01-02-2026-17.17,71801,157,157
0002I_01-02-2026-17.22,60000,0,0
0002I_01-02-2026-17.22,04040,78,79
0002I_01-02-2026-17.22,71801,172,172
03373_01-02-2026-17.27,60000,0,0
03373_01-02-2026-17.27,04007,26,27
03373_01-02-2026-17.27,04040,84,85
03373_01-02-2026-17.27,78400,128,130
03373_01-02-2026-17.27,04104,157,159
03373_01-02-2026-17.27,71801,199,199
02553_01-02-2026-17.57,54413,0,0
02553_01-02-2026-17.57,50500,47,49
02553_01-02-2026-17.57,60000,165,181
02553_01-02-2026-17.57,71801,338,338
03183_01-02-2026-18.27,60000,0,0
03183_01-02-2026-18.27,04040,78,79
03183_01-02-2026-18.27,04104,137,139
03183_01-02-2026-18.27,71801,177,177
0003I_01-02-2026-18.32,60000,0,0
0003I_01-02-2026-18.32,71801,157,157
03191_01-02-2026-18.57,60000,0,0
03191_01-02-2026-18.57,71801,157,167
03191_01-02-2026-18.57,79206,208,210
03191_01-02-2026-18.57,04307,225,225
02861_01-02-2026-19.00,51003,0,0
02861_01-02-2026-19.00,50500,42,44
02861_01-02-2026-19.00,60000,159,188
02861_01-02-2026-19.00,04007,216,217
02861_01-02-2026-19.00,70600,256,257
02861_01-02-2026-19.00,04040,290,293
02861_01-02-2026-19.00,78200,327,328
02861_01-02-2026-19.00,74200,344,344
0002I_01-02-2026-19.29,60000,0,0
0002I_01-02-2026-19.29,04040,78,79
0002I_01-02-2026-19.29,71801,172,172
03309_01-02-2026-19.34,60000,0,0
03309_01-02-2026-19.34,04007,26,27
03309_01-02-2026-19.34,70600,62,63
03309_01-02-2026-19.34,04040,88,89
03309_01-02-2026-19.34,78400,132,134
03309_01-02-2026-19.34,04104,161,163
03309_01-02-2026-19.34,71801,201,211
03309_01-02-2026-19.34,79206,252,253
03309_01-02-2026-19.34,04307,268,268
00437_01-02-2026-19.52,13200,0,0
00437_01-02-2026-19.52,11200,110,112
00437_01-02-2026-19.52,81002,129,130
00437_01-02-2026-19.52,81100,173,175
00437_01-02-2026-19.52,81108,210,211
00437_01-02-2026-19.52,81200,232,235
00437_01-02-2026-19.52,81202,245,246
00437_01-02-2026-19.52,04040,287,290
00437_01-02-2026-19.52,78400,354,356
00437_01-02-2026-19.52,04104,388,390
00437_01-02-2026-19.52,71801,431,431
03931_01-02-2026-20.01,05000,0,0
03931_01-02-2026-20.01,02030,42,44
03931_01-02-2026-20.01,50500,84,88
03931_01-02-2026-20.01,04040,268,271
03931_01-02-2026-20.01,78400,318,320
03931_01-02-2026-20.01,04104,346,348
03931_01-02-2026-20.01,71801,388,388
03201_01-02-2026-20.05,60000,0,0
03201_01-02-2026-20.05,71801,157,157
0001O_01-02-2026-20.10,60000,0,0
0001O_01-02-2026-20.10,04040,76,79
0001O_01-02-2026-20.10,71801,173,173
03203_01-02-2026-20.27,60000,0,0
03203_01-02-2026-20.27,04007,25,26
03203_01-02-2026-20.27,70600,65,66
03203_01-02-2026-20.27,04040,90,91
03203_01-02-2026-20.27,78400,133,135
03203_01-02-2026-20.27,04104,160,162
03203_01-02-2026-20.27,71801,201,201
03991_01-02-2026-20.38,54413,0,0
03941_01-02-2026-20.38,51003,0,0
03991_01-02-2026-20.38,02003,20,22
03991_01-02-2026-20.38,02002,35,37
03941_01-02-2026-20.38,50500,42,52
03991_01-02-2026-20.38,50500,68,74
03941_01-02-2026-20.38,37300,103,105
03941_01-02-2026-20.38,37200,118,120
03991_01-02-2026-20.38,37300,125,127
03991_01-02-2026-20.38,37200,140,142
03941_01-02-2026-20.38,04040,259,261
03991_01-02-2026-20.38,04040,281,283
03941_01-02-2026-20.38,78400,303,305
03991_01-02-2026-20.38,78400,325,327
03941_01-02-2026-20.38,04104,334,336
03991_01-02-2026-20.38,04104,356,358
03941_01-02-2026-20.38,71801,378,378
03991_01-02-2026-20.38,71801,400,400
0003I_01-02-2026-20.56,60000,0,0
0003I_01-02-2026-20.56,71801,157,157
